file_name,score_dim,judge_id,judge_score
DH_danYuanRenChangJiu,pitch,1,1
DZW_danYuanRenChangJiu,pitch,1,6
DL_danYuanRenChangJiu,pitch,1,5
GY_danYuanRenChangJiu,pitch,1,8
HYW_danYuanRenChangJiu,pitch,1,6
HY_danYuanRenChangJiu,pitch,1,6
KYX_danYuanRenChangJiu,pitch,1,6
LJQ_danYuanRenChangJiu,pitch,1,8
LX_danYuanRenChangJiu,pitch,1,6
LZQ_danYuanRenChangJiu,pitch,1,6
LYR_danYuanRenChangJiu,pitch,1,4
LYH_danYuanRenChangJiu,pitch,1,5
OYYX_danYuanRenChangJiu,pitch,1,3
SCX_danYuanRenChangJiu,pitch,1,10
LGL_danYuanRenChangJiu,pitch,1,2
WHL_danYuanRenChangJiu,pitch,1,10
WZB_danYuanRenChangJiu,pitch,1,5
WYW_danYuanRenChangJiu,pitch,1,5
YFC_danYuanRenChangJiu,pitch,1,3
YHD_danYuanRenChangJiu,pitch,1,6
YHA_danYuanRenChangJiu,pitch,1,10
YYH_danYuanRenChangJiu,pitch,1,7
DH_danYuanRenChangJiu,pitch,2,2
DZW_danYuanRenChangJiu,pitch,2,5
DL_danYuanRenChangJiu,pitch,2,5
GY_danYuanRenChangJiu,pitch,2,7
HYW_danYuanRenChangJiu,pitch,2,5
HY_danYuanRenChangJiu,pitch,2,6
KYX_danYuanRenChangJiu,pitch,2,6
LJQ_danYuanRenChangJiu,pitch,2,9
LX_danYuanRenChangJiu,pitch,2,4
LZQ_danYuanRenChangJiu,pitch,2,6
LYR_danYuanRenChangJiu,pitch,2,2
LYH_danYuanRenChangJiu,pitch,2,6
OYYX_danYuanRenChangJiu,pitch,2,2
SCX_danYuanRenChangJiu,pitch,2,10
LGL_danYuanRenChangJiu,pitch,2,1
WHL_danYuanRenChangJiu,pitch,2,10
WZB_danYuanRenChangJiu,pitch,2,6
WYW_danYuanRenChangJiu,pitch,2,5
YFC_danYuanRenChangJiu,pitch,2,2
YHD_danYuanRenChangJiu,pitch,2,5
YHA_danYuanRenChangJiu,pitch,2,9
YYH_danYuanRenChangJiu,pitch,2,6
DH_danYuanRenChangJiu,pitch,3,2
DZW_danYuanRenChangJiu,pitch,3,4
DL_danYuanRenChangJiu,pitch,3,4
GY_danYuanRenChangJiu,pitch,3,6
HYW_danYuanRenChangJiu,pitch,3,3
HY_danYuanRenChangJiu,pitch,3,4
KYX_danYuanRenChangJiu,pitch,3,5
LJQ_danYuanRenChangJiu,pitch,3,10
LX_danYuanRenChangJiu,pitch,3,5
LZQ_danYuanRenChangJiu,pitch,3,4
LYR_danYuanRenChangJiu,pitch,3,3
LYH_danYuanRenChangJiu,pitch,3,6
OYYX_danYuanRenChangJiu,pitch,3,5
SCX_danYuanRenChangJiu,pitch,3,10
LGL_danYuanRenChangJiu,pitch,3,2
WHL_danYuanRenChangJiu,pitch,3,9
WZB_danYuanRenChangJiu,pitch,3,7
WYW_danYuanRenChangJiu,pitch,3,6
YFC_danYuanRenChangJiu,pitch,3,4
YHD_danYuanRenChangJiu,pitch,3,4
YHA_danYuanRenChangJiu,pitch,3,10
YYH_danYuanRenChangJiu,pitch,3,6
DH_danYuanRenChangJiu,pitch,4,3
DZW_danYuanRenChangJiu,pitch,4,5
DL_danYuanRenChangJiu,pitch,4,5
GY_danYuanRenChangJiu,pitch,4,6
HYW_danYuanRenChangJiu,pitch,4,2
HY_danYuanRenChangJiu,pitch,4,3
KYX_danYuanRenChangJiu,pitch,4,5
LJQ_danYuanRenChangJiu,pitch,4,9
LX_danYuanRenChangJiu,pitch,4,6
LZQ_danYuanRenChangJiu,pitch,4,4
LYR_danYuanRenChangJiu,pitch,4,2
LYH_danYuanRenChangJiu,pitch,4,6
OYYX_danYuanRenChangJiu,pitch,4,4
SCX_danYuanRenChangJiu,pitch,4,9
LGL_danYuanRenChangJiu,pitch,4,2
WHL_danYuanRenChangJiu,pitch,4,9
WZB_danYuanRenChangJiu,pitch,4,7
WYW_danYuanRenChangJiu,pitch,4,5
YFC_danYuanRenChangJiu,pitch,4,4
YHD_danYuanRenChangJiu,pitch,4,5
YHA_danYuanRenChangJiu,pitch,4,9
YYH_danYuanRenChangJiu,pitch,4,7
DH_danYuanRenChangJiu,rhythm,1,3
DZW_danYuanRenChangJiu,rhythm,1,6
DL_danYuanRenChangJiu,rhythm,1,4
GY_danYuanRenChangJiu,rhythm,1,7
HYW_danYuanRenChangJiu,rhythm,1,7
HY_danYuanRenChangJiu,rhythm,1,5
KYX_danYuanRenChangJiu,rhythm,1,7
LJQ_danYuanRenChangJiu,rhythm,1,9
LX_danYuanRenChangJiu,rhythm,1,5
LZQ_danYuanRenChangJiu,rhythm,1,3
LYR_danYuanRenChangJiu,rhythm,1,4
LYH_danYuanRenChangJiu,rhythm,1,4
OYYX_danYuanRenChangJiu,rhythm,1,2
SCX_danYuanRenChangJiu,rhythm,1,10
LGL_danYuanRenChangJiu,rhythm,1,2
WHL_danYuanRenChangJiu,rhythm,1,9
WZB_danYuanRenChangJiu,rhythm,1,3
WYW_danYuanRenChangJiu,rhythm,1,4
YFC_danYuanRenChangJiu,rhythm,1,2
YHD_danYuanRenChangJiu,rhythm,1,5
YHA_danYuanRenChangJiu,rhythm,1,10
YYH_danYuanRenChangJiu,rhythm,1,7
DH_danYuanRenChangJiu,rhythm,2,4
DZW_danYuanRenChangJiu,rhythm,2,5
DL_danYuanRenChangJiu,rhythm,2,5
GY_danYuanRenChangJiu,rhythm,2,6
HYW_danYuanRenChangJiu,rhythm,2,4
HY_danYuanRenChangJiu,rhythm,2,5
KYX_danYuanRenChangJiu,rhythm,2,7
LJQ_danYuanRenChangJiu,rhythm,2,10
LX_danYuanRenChangJiu,rhythm,2,5
LZQ_danYuanRenChangJiu,rhythm,2,5
LYR_danYuanRenChangJiu,rhythm,2,3
LYH_danYuanRenChangJiu,rhythm,2,5
OYYX_danYuanRenChangJiu,rhythm,2,3
SCX_danYuanRenChangJiu,rhythm,2,10
LGL_danYuanRenChangJiu,rhythm,2,1
WHL_danYuanRenChangJiu,rhythm,2,10
WZB_danYuanRenChangJiu,rhythm,2,5
WYW_danYuanRenChangJiu,rhythm,2,5
YFC_danYuanRenChangJiu,rhythm,2,2
YHD_danYuanRenChangJiu,rhythm,2,6
YHA_danYuanRenChangJiu,rhythm,2,9
YYH_danYuanRenChangJiu,rhythm,2,7
DH_danYuanRenChangJiu,rhythm,3,4
DZW_danYuanRenChangJiu,rhythm,3,5
DL_danYuanRenChangJiu,rhythm,3,3
GY_danYuanRenChangJiu,rhythm,3,6
HYW_danYuanRenChangJiu,rhythm,3,3
HY_danYuanRenChangJiu,rhythm,3,3
KYX_danYuanRenChangJiu,rhythm,3,4
LJQ_danYuanRenChangJiu,rhythm,3,10
LX_danYuanRenChangJiu,rhythm,3,5
LZQ_danYuanRenChangJiu,rhythm,3,3
LYR_danYuanRenChangJiu,rhythm,3,3
LYH_danYuanRenChangJiu,rhythm,3,5
OYYX_danYuanRenChangJiu,rhythm,3,6
SCX_danYuanRenChangJiu,rhythm,3,10
LGL_danYuanRenChangJiu,rhythm,3,3
WHL_danYuanRenChangJiu,rhythm,3,8
WZB_danYuanRenChangJiu,rhythm,3,6
WYW_danYuanRenChangJiu,rhythm,3,5
YFC_danYuanRenChangJiu,rhythm,3,3
YHD_danYuanRenChangJiu,rhythm,3,3
YHA_danYuanRenChangJiu,rhythm,3,10
YYH_danYuanRenChangJiu,rhythm,3,5
DH_danYuanRenChangJiu,rhythm,4,3
DZW_danYuanRenChangJiu,rhythm,4,6
DL_danYuanRenChangJiu,rhythm,4,5
GY_danYuanRenChangJiu,rhythm,4,7
HYW_danYuanRenChangJiu,rhythm,4,3
HY_danYuanRenChangJiu,rhythm,4,4
KYX_danYuanRenChangJiu,rhythm,4,4
LJQ_danYuanRenChangJiu,rhythm,4,10
LX_danYuanRenChangJiu,rhythm,4,5
LZQ_danYuanRenChangJiu,rhythm,4,3
