person,file_name,score_dim,judge_id,judge_score
DH,DH_danYuanRenChangJiu,pitch,1,1
DZW,DZW_danYuanRenChangJiu,pitch,1,6
DL,DL_danYuanRenChangJiu,pitch,1,5
GY,GY_danYuanRenChangJiu,pitch,1,8
HYW,HYW_danYuanRenChangJiu,pitch,1,6
HY,HY_danYuanRenChangJiu,pitch,1,6
KYX,KYX_danYuanRenChangJiu,pitch,1,6
LJQ,LJQ_danYuanRenChangJiu,pitch,1,8
LX,LX_danYuanRenChangJiu,pitch,1,6
LZQ,LZQ_danYuanRenChangJiu,pitch,1,6
LYR,LYR_danYuanRenChangJiu,pitch,1,4
LYH,LYH_danYuanRenChangJiu,pitch,1,5
OYYX,OYYX_danYuanRenChangJiu,pitch,1,3
SCX,SCX_danYuanRenChangJiu,pitch,1,10
LGL,LGL_danYuanRenChangJiu,pitch,1,2
WHL,WHL_danYuanRenChangJiu,pitch,1,10
WZB,WZB_danYuanRenChangJiu,pitch,1,5
WYW,WYW_danYuanRenChangJiu,pitch,1,5
YFC,YFC_danYuanRenChangJiu,pitch,1,3
YHD,YHD_danYuanRenChangJiu,pitch,1,6
YHA,YHA_danYuanRenChangJiu,pitch,1,10
YYH,YYH_danYuanRenChangJiu,pitch,1,7
DH,DH_danYuanRenChangJiu,pitch,2,2
DZW,DZW_danYuanRenChangJiu,pitch,2,5
DL,DL_danYuanRenChangJiu,pitch,2,5
GY,GY_danYuanRenChangJiu,pitch,2,7
HYW,HYW_danYuanRenChangJiu,pitch,2,5
HY,HY_danYuanRenChangJiu,pitch,2,6
KYX,KYX_danYuanRenChangJiu,pitch,2,6
LJQ,LJQ_danYuanRenChangJiu,pitch,2,9
LX,LX_danYuanRenChangJiu,pitch,2,4
LZQ,LZQ_danYuanRenChangJiu,pitch,2,6
LYR,LYR_danYuanRenChangJiu,pitch,2,2
LYH,LYH_danYuanRenChangJiu,pitch,2,6
OYYX,OYYX_danYuanRenChangJiu,pitch,2,2
SCX,SCX_danYuanRenChangJiu,pitch,2,10
LGL,LGL_danYuanRenChangJiu,pitch,2,1
WHL,WHL_danYuanRenChangJiu,pitch,2,10
WZB,WZB_danYuanRenChangJiu,pitch,2,6
WYW,WYW_danYuanRenChangJiu,pitch,2,5
YFC,YFC_danYuanRenChangJiu,pitch,2,2
YHD,YHD_danYuanRenChangJiu,pitch,2,5
YHA,YHA_danYuanRenChangJiu,pitch,2,9
YYH,YYH_danYuanRenChangJiu,pitch,2,6
DH,DH_danYuanRenChangJiu,pitch,3,2
DZW,DZW_danYuanRenChangJiu,pitch,3,4
DL,DL_danYuanRenChangJiu,pitch,3,4
GY,GY_danYuanRenChangJiu,pitch,3,6
HYW,HYW_danYuanRenChangJiu,pitch,3,3
HY,HY_danYuanRenChangJiu,pitch,3,4
KYX,KYX_danYuanRenChangJiu,pitch,3,5
LJQ,LJQ_danYuanRenChangJiu,pitch,3,10
LX,LX_danYuanRenChangJiu,pitch,3,5
LZQ,LZQ_danYuanRenChangJiu,pitch,3,4
LYR,LYR_danYuanRenChangJiu,pitch,3,3
LYH,LYH_danYuanRenChangJiu,pitch,3,6
OYYX,OYYX_danYuanRenChangJiu,pitch,3,5
SCX,SCX_danYuanRenChangJiu,pitch,3,10
LGL,LGL_danYuanRenChangJiu,pitch,3,2
WHL,WHL_danYuanRenChangJiu,pitch,3,9
WZB,WZB_danYuanRenChangJiu,pitch,3,7
WYW,WYW_danYuanRenChangJiu,pitch,3,6
YFC,YFC_danYuanRenChangJiu,pitch,3,4
YHD,YHD_danYuanRenChangJiu,pitch,3,4
YHA,YHA_danYuanRenChangJiu,pitch,3,10
YYH,YYH_danYuanRenChangJiu,pitch,3,6
DH,DH_danYuanRenChangJiu,pitch,4,3
DZW,DZW_danYuanRenChangJiu,pitch,4,5
DL,DL_danYuanRenChangJiu,pitch,4,5
